Company,Category,City,State,Country,"OUTSIDE 
USA",Website,LinkedIn,Crunchbase,Employees,"Year 
Founded",AKA/DBA,Name Variants,Acquired By,Original Categories,Source Sheets,# Sheets,Notes,REVIEW,Description,city_clean,state_clean,description,confidence,needs_review,scrape_status
AnthroTek,Robotics & Autonomy,Cambridge,UK,United Kingdom,yes,https://www.anthrotek.com/,https://www.linkedin.com/company/anthrotek/,https://www.crunchbase.com/organization/anthrotek,6,2024,,,,"Advance materials, redefining hyper-realistic artificial skin, faces, and body parts manufacturing with AI and 3D tech. | Artificial Intelligence, Robotics",MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Advanced Manufacturing,"AnthroTek designs and manufactures silicone anatomical models, medical simulation training systems, and device testing substrates using proprietary soft-polymer and silicone technologies. Their products serve medical device R&D, surgical training, pharmaceutical testing, and laboratory animal replacement programmes.",Cambridge,UK,"AnthroTek designs and manufactures silicone anatomical models, medical simulation training systems, and device testing substrates using proprietary soft-polymer and silicone technologies. Their products serve medical device R&D, surgical training, pharmaceutical testing, and laboratory animal replacement programmes.",high,False,ok
Antora Energy,Energy & Climate,Sunnyvale,CA,USA,,https://www.antoraenergy.com,https://www.linkedin.com/company/antora-energy/,https://www.crunchbase.com/organization/antora-energy,237,2017,Antora Energy,Antora,,"Thermal, Fluids, Turbomachinery & Energy | Energy & Power Systems | Thermal storage | Thermal Energy Storage | Develops thermal energy storage systems using heated carbon blocks for industrial decarbonization. | DEFENSE | Battery Storage | Thermal Batteries | Energy + Climate | Energy Storage (Thermal)",ALL COMPANIES MERGED  | Energy Targets (X- AgTech) | JP MOrgan Space List | MASTER - Combined_Account Owner,4,,Multi-category signal: Industrial & Factory Infrastructure,"Antora Energy develops thermal energy storage systems that store surplus clean electricity as heat in carbon blocks, then deliver always-on heat and power for industrial facilities across sectors such as chemicals, food and beverage, steel, and data centers.",Sunnyvale,CA,"Antora Energy develops thermal energy storage systems that store surplus clean electricity as heat in carbon blocks, then deliver always-on heat and power for industrial facilities across sectors such as chemicals, food and beverage, steel, and data centers.",high,False,ok
ANYbotics,Robotics & Autonomy,Zürich,,Switzerland,yes,https://www.anybotics.com/,https://www.linkedin.com/company/anybotics/,https://www.crunchbase.com/organization/anybotics,239,2016,,,,Develops legged robots for autonomous inspection in industrial environments. | Develop mobile robotics for industrial applications. The simulation software to extend ANYmal’s (four-legged robots) capabilities and interface through the ROS APIs and open-source ecosystem. ROS drivers for ANYbotics (see ANYbotics).,ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | Robotics,3,,"Multi-category signal: Industrial & Factory Infrastructure; Communications, Compute & Networking","ANYbotics develops autonomous four-legged robots (ANYmal) that automate industrial inspections in sectors such as oil and gas, mining, power and utilities, and chemicals, providing operators with data insights to improve safety, uptime, and efficiency.",Zürich,,"ANYbotics develops autonomous four-legged robots (ANYmal) that automate industrial inspections in sectors such as oil and gas, mining, power and utilities, and chemicals, providing operators with data insights to improve safety, uptime, and efficiency.",high,True,ok
Aopeng Yiliao,Robotics & Autonomy,Shanghai,,China,yes,https://www.operaterobot.com/,,https://www.crunchbase.com/organization/aopeng-yiliao,,2017,,,,Aopeng Yiliao is a developer of vascular interventional surgery robots. | Robotics,MASTER - Combined_Account Owner | Robotics,2,,,,Shanghai,,,low,True,ok
Anysignal,"Communications, Compute & Networking",Los Angeles,CA,USA,,https://www.anysignal.com/,https://www.linkedin.com/company/anysignal/,https://www.crunchbase.com/organizationysignal,25,2022,,AnySignal,,"Communication Hardware, Internet Radio, Sensor | Space-Based Military Tech | Military RF platforms for space | Communications",Defense Targets | MASTER | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source - SoCal Hard Tech | Source -MARKET MAP COMPANIES,7,CURRENT CLIENT,Multi-category signal: Electronics; Defense; Aerospace & Space,"AnySignal provides an end-to-end RF (radio frequency) platform for aerospace and national security applications, offering hardware, software, and network orchestration solutions for communications, electronic warfare, radar, and autonomous systems across space, land, air, and sea domains.",Los Angeles,CA,"AnySignal provides an end-to-end RF (radio frequency) platform for aerospace and national security applications, offering hardware, software, and network orchestration solutions for communications, electronic warfare, radar, and autonomous systems across space, land, air, and sea domains.",low,False,ok
Apex Manufacturing,Advanced Manufacturing,,,USA,,,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,,,,,low,True,no_url
Apex - Spacecraft Manufacturing,Aerospace & Space,Los Angeles,CA,USA,,https://www.apexspace.com/,https://www.linkedin.com/company/apexspacetech/,https://www.crunchbase.com/organization/apex-spacecraft-manufacturing,198,2022,Apex - Spacecraft Manufacturing,,,"Aerospace (New) | Aerospace - Space Systems | Aerospace / Defense | Aerospace, Commercial, Manufacturing | Builds standardized satellite buses to accelerate spacecraft development and deployment. | Bus Providers / Satellite Manufacturers | Modern Defense Companies | Rapid satellite manufacturing | Satellite / Space Infrastructure | Satellite Manufacturing / Bus Developer | Satellite Systems | Satellites and Space Systems | Space | Space (Satellites) | Space / Aerospace | Space Hardware-Satellite",ALL COMPANIES MERGED | Aerospace & Defense ($10M+ reve | Defense Targets | MASTER | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source - SoCal Hard Tech | Source -MARKET MAP COMPANIES | Space Targets,10,,,"Apex manufactures productized, configurable satellite bus platforms (Aries, Nova, and Comet) designed for rapid production and delivery across LEO, MEO, and GEO orbits. Their Los Angeles factory supports high-rate serial manufacturing for government and commercial constellation customers.",Los Angeles,CA,"Apex manufactures productized, configurable satellite bus platforms (Aries, Nova, and Comet) designed for rapid production and delivery across LEO, MEO, and GEO orbits. Their Los Angeles factory supports high-rate serial manufacturing for government and commercial constellation customers.",high,False,ok
Apex Microtechnology,Aerospace & Space,,,USA,,www.apexanalog.com,http://www.linkedin.com/company/apexanalog,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,"Apex Microtechnology designs and manufactures high-voltage, high-current analog components including power operational amplifiers, integrated power modules, PWM amplifiers, precision ICs, and voltage references for industrial, defense/aerospace, medical, and semiconductor capital equipment markets.",,,"Apex Microtechnology designs and manufactures high-voltage, high-current analog components including power operational amplifiers, integrated power modules, PWM amplifiers, precision ICs, and voltage references for industrial, defense/aerospace, medical, and semiconductor capital equipment markets.",low,True,ok
Apeel Sciences,Medical Devices,Goleta,CA,USA,,https://www.apeel.com/,https://www.linkedin.com/company/apeel/,,205,2012,,,,"Agriculture, AgTech, Biotechnology, Food and Beverage, Sustainability",MASTER - Combined_Account Owner | Source - SoCal Hard Tech,2,,,"Apeel Sciences develops plant-based edible coatings derived from peels, pulp, and seeds of plants, applied as a thin layer to fresh fruits and vegetables to extend shelf life, reduce food waste, and decrease reliance on refrigeration, pesticides, and plastics.",Goleta,CA,"Apeel Sciences develops plant-based edible coatings derived from peels, pulp, and seeds of plants, applied as a thin layer to fresh fruits and vegetables to extend shelf life, reduce food waste, and decrease reliance on refrigeration, pesticides, and plastics.",high,False,ok
Apex.AI,Robotics & Autonomy,Palo Alto,CA,USA,,https://www.apex.ai/,https://www.linkedin.com/company/apex-ai/,https://www.crunchbase.com/organization/apex-ai,90,2017,Apex,,,"Specializes in developing operating systems for autonomous vehicles. Its software products are based on open-source software such as ROS or Eclipse iceoryx. Apex.AI is a proud supporter of Open Robotics, ROS and ROSCon.",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,"Multi-category signal: Communications, Compute & Networking; Transportation & Mobility","Apex.AI develops safety-certified, scalable software SDKs and tools for software-defined mobility and autonomous systems, serving automotive, agriculture, medical, and defense industries. Their products include real-time application runtimes, communication middleware, CI/CD tooling, and data recording/replay systems built on ROS 2.",Palo Alto,CA,"Apex.AI develops safety-certified, scalable software SDKs and tools for software-defined mobility and autonomous systems, serving automotive, agriculture, medical, and defense industries. Their products include real-time application runtimes, communication middleware, CI/CD tooling, and data recording/replay systems built on ROS 2.",high,False,ok
Apogee Aerospace,Aerospace & Space,,,India,yes,https://www.apogeeaerospace.in/,https://www.linkedin.com/company/apogee-aerospace-pvt-ltd/,,2,,,,,Aerospace - Space Systems,ALL COMPANIES MERGED ,1,,,"Apogee Aerospace Pvt. Ltd. is an India-based aerospace solutions provider that holds exclusive regional rights to market, distribute, and integrate the Albatross amphibious aircraft across India and neighboring countries, while also offering mission-specific system integration, sensor retrofitting, and MRO (Maintenance, Repair, Overhaul) services for defence, disaster response, and civil aviation applications.",,,"Apogee Aerospace Pvt. Ltd. is an India-based aerospace solutions provider that holds exclusive regional rights to market, distribute, and integrate the Albatross amphibious aircraft across India and neighboring countries, while also offering mission-specific system integration, sensor retrofitting, and MRO (Maintenance, Repair, Overhaul) services for defence, disaster response, and civil aviation applications.",low,True,ok
Aphelia Space,Aerospace & Space,Kuala Lumpur,,Malaysia,yes,https://aphelia.space/,https://www.linkedin.com/company/aphelia-space/,,,2022,,,,Aerospace,SPACE & DEFENSE COMPANIES | Sheet1,2,,,"Aphelia Space develops wireless energy transfer technology for lunar missions and other applications, enabling power transmission for drones, radar systems, and beyond-Earth operations.",Kuala Lumpur,,"Aphelia Space develops wireless energy transfer technology for lunar missions and other applications, enabling power transmission for drones, radar systems, and beyond-Earth operations.",low,True,ok
ApolloShield Counter-Drone Systems,Defense,Palo Alto,CA,USA,,http://apolloshield.com/,https://www.linkedin.com/company/apolloshield-anti-drone-solutions/,https://www.crunchbase.com/organization/apollo-shield,,2015,,,,Counter-Unmanned System,SPACE & DEFENSE COMPANIES | Sheet1,2,,,"ApolloShield develops and sells counter-drone (cUAS) systems, including RF sensors, jammers, RF guns, and a command center platform that detect, classify, and block unauthorized drone intrusions using radio frequency fingerprint technology.",Palo Alto,CA,"ApolloShield develops and sells counter-drone (cUAS) systems, including RF sensors, jammers, RF guns, and a command center platform that detect, classify, and block unauthorized drone intrusions using radio frequency fingerprint technology.",low,False,ok
Applanix Corporation,Electronics,Richmond Hill,ON,Canada,yes,https://applanix.trimble.com/en,https://www.linkedin.com/company/trimbleapplanix/,https://www.crunchbase.com/organization/applanix-corporation,125,1991,,,,Develop advanced products and scalable solutions that maximize productivity through Mobile Mapping and Positioning. ROS driver for Applanix hardware (see applanix_driver)15.,MASTER - Combined_Account Owner | Robotics,2,,,"Applanix (a Trimble company) develops GNSS-aided inertial positioning and orientation systems for mobile mapping, surveying, and autonomous vehicles operating on land, in the air, and at sea. Their products include hardware and software solutions for direct georeferencing, sensor fusion, and post-mission data processing.",Richmond Hill,ON,"Applanix (a Trimble company) develops GNSS-aided inertial positioning and orientation systems for mobile mapping, surveying, and autonomous vehicles operating on land, in the air, and at sea. Their products include hardware and software solutions for direct georeferencing, sensor fusion, and post-mission data processing.",low,False,ok
Apollo Fusion,Aerospace & Space,Mountain View,CA,USA,,https://www.apollofusion.com/,https://www.linkedin.com/company/apollofusion/,https://www.crunchbase.com/organization/apollo-fusion,1,2016,,,Astra,Space Systems | Satellite Communication,ALL COMPANIES MERGED  | SPACE & DEFENSE COMPANIES | Sheet1,3,,"Multi-category signal: Energy & Climate; Communications, Compute & Networking",,Mountain View,CA,,low,True,blocked_or_timeout
Apollo,Robotics & Autonomy,Beijing,Beijing,China,yes,https://www.apollo.auto/,https://www.linkedin.com/company/baidu-apollo,https://www.crunchbase.com/organization/baidu-apollo,40,2017,,,,"An open autonomous driving platform. The Apollo-platform solution under ROS directory (see apollo-platform). Sponsor of the ROScon 2018 14. | Dominant Chinese autonomous vehicle platform for robotaxis, trucking, and smart mobility solutions.",ALL COMPANIES MERGED | MASTER - Combined_Account Owner | Robotics,3,,,"Baidu Apollo provides intelligent driving solutions and automotive intelligence products, including autonomous driving systems, advanced driver assistance, smart cockpit, and AI-powered mapping for automakers and developers.",Beijing,Beijing,"Baidu Apollo provides intelligent driving solutions and automotive intelligence products, including autonomous driving systems, advanced driver assistance, smart cockpit, and AI-powered mapping for automakers and developers.",medium,False,ok
Applied Avionics,Electronics,,,USA,,www.appliedavionics.com,http://www.linkedin.com/company/applied-avionics,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,"Applied Avionics manufactures VIVISUN advanced lighted pushbutton switches and indicators, and NEXSYS avionics interface and signal processing products for OEM aircraft manufacturers and military applications worldwide.",,,"Applied Avionics manufactures VIVISUN advanced lighted pushbutton switches and indicators, and NEXSYS avionics interface and signal processing products for OEM aircraft manufacturers and military applications worldwide.",low,True,ok
Applied Intuition,Robotics & Autonomy,Mountain View,CA,USA,,https://www.appliedintuition.com/ | https://www.appliedintuition.com,https://www.linkedin.com/company/applied-intuition-inc,https://www.crunchbase.com/organization/applied-intuition,1407,2017,,,,"Electromechanical Systems, Robotics, and Industrial | Autonomy Platform / Tooling | Electromechanical Systems, Robotics, Industrial | Autonomous Vehicles (AV) | AV dev tooling + EpiSci defense | Autonomous Vehicles | Provides simulation, tooling, and autonomy software to accelerate autonomous vehicle development. | Defense | Autonomous Vehicles, Enterprise Software, Infrastructure, Software | Autonomous Systems | Simulation for autonomous military vehicles",ALL COMPANIES MERGED  | Defense Targets | MASTER | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1,6,,"Multi-category signal: Defense; Transportation & Mobility; Industrial & Factory Infrastructure; Communications, Compute & Networking",,Mountain View,CA,,low,True,blocked_or_timeout
Apple,Electronics,Cupertino,CA,USA,,https://www.apple.com/,https://www.linkedin.com/company/apple/posts/?feedView=all,https://www.crunchbase.com/organization/apple,172567,,Apple Computer,Apple (Hardware Engineering),,"Electronics | Consumer Electronics & Hardware | Project Titan alumni particularly valuable | Designs and sells consumer electronics, software, and services including iPhone, Mac, and wearables.",ALL COMPANIES MERGED ,1,,,"Apple designs, manufactures, and sells consumer electronics, software, and services including iPhone, Mac, iPad, Apple Watch, and Apple TV, along with digital content platforms such as Apple Music, Apple TV+, and the App Store.",Cupertino,CA,"Apple designs, manufactures, and sells consumer electronics, software, and services including iPhone, Mac, iPad, Apple Watch, and Apple TV, along with digital content platforms such as Apple Music, Apple TV+, and the App Store.",low,False,ok
Applied Materials,Semiconductors,Santa Clara,CA,USA,,http://www.appliedmaterials.com,https://www.linkedin.com/company/applied-materials/,https://www.crunchbase.com/organization/applied-materials,30422,,,,,Semiconductor | Foundry & Manufacturing | Deposition / Etch | Supplies materials engineering equipment and services used in semiconductor and display manufacturing.,ALL COMPANIES MERGED ,1,,Multi-category signal: Advanced Manufacturing,,Santa Clara,CA,,low,True,blocked_or_timeout
Applied Aerospace Structures,Aerospace & Space,Newington,CT,USA,,www.appliedaero.space,http://www.linkedin.com/company/aascworld,,,,,,,,Aerospace & Defense ($10M+ reve,1,,,"Applied Aerospace & Defense is an advanced manufacturing company that produces complex, mission-critical hardware and structures for the aerospace, defense, and space industries, including components for launch vehicles, spacecraft, aircraft, and defense platforms. The company operates purpose-built facilities nationwide and serves customers across space and launch, defense, aviation, and C5ISR and precision strike markets.",Newington,CT,"Applied Aerospace & Defense is an advanced manufacturing company that produces complex, mission-critical hardware and structures for the aerospace, defense, and space industries, including components for launch vehicles, spacecraft, aircraft, and defense platforms. The company operates purpose-built facilities nationwide and serves customers across space and launch, defense, aviation, and C5ISR and precision strike markets.",high,False,ok
Applied Signal Technology,Aerospace & Space,,,USA,,www.appsig.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
Apptronik,Robotics & Autonomy,Austin,TX,USA,,http://www.apptronik.com/,https://www.linkedin.com/company/apptronik-inc.,https://www.crunchbase.com/organization/apptronik,248,2016,,,,"Electromechanical Systems, Robotics, and Industrial | Advanced Robotics | Robotics | Modern Robotics (Humanoid/Mobile) | Builds general-purpose humanoid robots designed for logistics and industrial applications. | Builds and designs human-centered robotics systems. Draco is Apptronik’s first biped. The system can be a platform for any humanoid system, with easy integration between systems because of the open access to low level control software and libraries for RT Linux/ROS17 integration.",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,4,,"Multi-category signal: Industrial & Factory Infrastructure; Communications, Compute & Networking","Apptronik designs and manufactures general-purpose humanoid robots, most notably Apollo, intended to automate physical tasks in logistics, warehousing, and manufacturing industries. The company offers robots under a Robot-as-a-Service (RaaS) model for applications such as case picking, palletization, and trailer unloading.",Austin,TX,"Apptronik designs and manufactures general-purpose humanoid robots, most notably Apollo, intended to automate physical tasks in logistics, warehousing, and manufacturing industries. The company offers robots under a Robot-as-a-Service (RaaS) model for applications such as case picking, palletization, and trailer unloading.",high,False,ok
"Applied Signals Intelligence, Inc.",Defense,Sterling,VA,USA,,http://www.asigint.com,https://www.linkedin.com/company/asigint/,https://www.crunchbase.com/organization/applied-signals-intelligence,,2007,ASI,,,Intelligence - Signals Intelligence,SPACE & DEFENSE COMPANIES | Sheet1,2,,,"Applied Signals Intelligence (ASI) develops compact, ultrawideband Radio Frequency (RF) direction finding and geolocation sensors for Electromagnetic Spectrum Operations (EMSO), designed for deployment on small unmanned aerial systems and other low-SWaP platforms in GPS-denied and contested environments.",Sterling,VA,"Applied Signals Intelligence (ASI) develops compact, ultrawideband Radio Frequency (RF) direction finding and geolocation sensors for Electromagnetic Spectrum Operations (EMSO), designed for deployment on small unmanned aerial systems and other low-SWaP platforms in GPS-denied and contested environments.",high,False,ok
Applied Research Associates,Defense,Albuquerque,NM,USA,,http://www.ara.com/,https://www.linkedin.com/company/ara/,https://www.crunchbase.com/organization/applied-research-associates,3275,,ARA,,,New Defense & Primes | Defense research/engineering,ALL COMPANIES MERGED ,1,,,"Applied Research Associates (ARA) is a 100% employee-owned science and engineering company that provides research and development, technical support services, specialty products, and integrated solutions across markets including national security, infrastructure, health, and energy and environment.",Albuquerque,NM,"Applied Research Associates (ARA) is a 100% employee-owned science and engineering company that provides research and development, technical support services, specialty products, and integrated solutions across markets including national security, infrastructure, health, and energy and environment.",low,False,ok
Aptera,Transportation & Mobility,Carlsbad,California,USA,,http://www.aptera.us/,https://www.linkedin.com/company/apteramotors,,83,2006 / 2019,,,,"Automotive, Electric Vehicle, Manufacturing",MASTER - Combined_Account Owner | Source - SoCal Hard Tech,2,,Multi-category signal: Advanced Manufacturing,"Aptera designs and builds solar electric vehicles featuring integrated solar cells intended to power most daily driving without charging, offering up to 40 miles of solar-powered range per day and 400 miles per full charge.",Carlsbad,California,"Aptera designs and builds solar electric vehicles featuring integrated solar cells intended to power most daily driving without charging, offering up to 40 miles of solar-powered range per day and 400 miles per full charge.",medium,False,ok
Aptiv,Robotics & Autonomy,Boston,MA,Ireland,yes,http://www.aptiv.com/,https://www.linkedin.com/company/aptiv/,https://www.crunchbase.com/organization/aptiv,32536,2008,Delphi Automotive,,,"Autonomy | Designs and manufactures vehicle electrical architecture, safety systems, and autonomous driving technologies. | Wire harnesses, connectors, software | Manufacturer of software-defined vehicles and solve mobility’s toughest challenges in autonomous driving. Hiring engineers with experience in ROS (Software Engineer).",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | MOrgan Stanley Space 60 LIST  | Robotics,4,,"Multi-category signal: Communications, Compute & Networking","Aptiv is a global industrial technology company that develops hardware, software, and engineered components enabling automated, electrified, and digitalized solutions across industries including automotive, aerospace and defense, medical, and robotics.",Boston,MA,"Aptiv is a global industrial technology company that develops hardware, software, and engineered components enabling automated, electrified, and digitalized solutions across industries including automotive, aerospace and defense, medical, and robotics.",low,False,ok
ARAV,"Maritime, Construction & Heavy Industry",Tokyo,,Japan,yes,https://www.arav.jp/,https://www.linkedin.com/company/arav-jp/,https://www.crunchbase.com/organization/arav-c86d,6,2020,,,,Offer automated construction equipment. Sponsor of the ROScon 2022.,MASTER - Combined_Account Owner | Robotics,2,,Multi-category signal: Industrial & Factory Infrastructure,"ARAV Inc. is a University of Tokyo startup that develops autonomous and teleoperation solutions for construction machinery, providing integrated hardware and software to automate hydraulic excavators and other equipment for digging, hauling, and loading operations.",Tokyo,,"ARAV Inc. is a University of Tokyo startup that develops autonomous and teleoperation solutions for construction machinery, providing integrated hardware and software to automate hydraulic excavators and other equipment for digging, hauling, and loading operations.",high,True,ok
Aqua Helpers,"Maritime, Construction & Heavy Industry",Beijing,,China,yes,https://www.aquahelpers.com/,https://www.linkedin.com/company/www.aquahelpers.com/,https://www.crunchbase.com/organization/aqua-helpers,,2019,Beijing Haizhou Unmanned Ship Technology,,,Unmanned Surface Vehicles | Aqua Helpers is a full-service R&D and manufacturing company for intelligent unmanned ships. | Robotics,MASTER - Combined_Account Owner | Robotics | SPACE & DEFENSE COMPANIES | Sheet1,4,,Multi-category signal: Defense; Robotics & Autonomy; Advanced Manufacturing,"AquaHelpers (北京海舶无人船科技有限公司) researches, develops, and manufactures intelligent unmanned surface vehicles (USVs), offering autonomous watercraft, water autopilot technology, and smart water-domain solutions powered by AI and big data.",Beijing,,"AquaHelpers (北京海舶无人船科技有限公司) researches, develops, and manufactures intelligent unmanned surface vehicles (USVs), offering autonomous watercraft, water autopilot technology, and smart water-domain solutions powered by AI and big data.",high,True,ok
Arbor Energy,Energy & Climate,Los Angeles,CA,USA,,https://arbor.co/,https://www.linkedin.com/company/arborenergy/,https://www.crunchbase.com/organization/arbor-energy,46,2022,"Arbor, Arbor Energy and Resources Corporation",,,"Clean Energy | Energy | Aerospace, Biomass Energy, Clean Energy, Hardware, Renewable Energy | Carbon Capture & Utilization",ALL COMPANIES MERGED  | ENERGY COMPANIES (SoCal) | Energy Targets (X- AgTech) | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source - SoCal Hard Tech,7,,Multi-category signal: Aerospace & Space; Electronics,,Los Angeles,CA,,low,True,blocked_or_timeout
Arbol,"Communications, Compute & Networking",New York,NY,USA,,https://www.arbol.io/,https://www.linkedin.com/company/arbolinc/,https://www.crunchbase.com/organization/arbol-markets,92,,,,,"Insurance | Agriculture, AgTech, Artificial Intelligence (AI),Big Data, Blockchain, Information Technology, Insurance, InsurTech, Marketplace, Software",MASTER - Combined_Account Owner | Source -MARKET MAP COMPANIES,2,,,"Arbol provides parametric climate risk insurance and derivatives products, using AI, machine learning, and blockchain to offer data-driven coverage against climate events such as temperature extremes, precipitation, wildfire, and wind for clients ranging from farmers to large corporations across multiple industries globally.",New York,NY,"Arbol provides parametric climate risk insurance and derivatives products, using AI, machine learning, and blockchain to offer data-driven coverage against climate events such as temperature extremes, precipitation, wildfire, and wind for clients ranging from farmers to large corporations across multiple industries globally.",high,False,ok
Arc Boats,Transportation & Mobility,Los Angeles,CA,USA,,https://arcboats.com/,https://www.linkedin.com/company/arc-boat-company/,https://www.crunchbase.com/organization/arc-boat-company,837,2021,"Rebel Space, Rebel Space Tech",,,"Boating, Industrial, Manufacturing | Designs electric recreational boats combining high performance with zero-emission propulsion. | EV | EV / Automotive OEM | Electromechanical Systems, Robotics, and Industrial | Mobility",ALL COMPANIES MERGED | ENERGY COMPANIES (SoCal) | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source - SoCal Hard Tech,6,,,"Arc Boats designs and manufactures 100% electric boats, including recreational wake boats and center consoles as well as commercial vessels, built at their factory in Los Angeles, California.",Los Angeles,CA,"Arc Boats designs and manufactures 100% electric boats, including recreational wake boats and center consoles as well as commercial vessels, built at their factory in Los Angeles, California.",high,False,ok
ARC Specialties,Industrial & Factory Infrastructure,Houston,TX,USA,,http://www.arcspecialties.com/,https://www.linkedin.com/company/arc-specialties/,https://www.crunchbase.com/organization/arc-specialties,58,1983,,,,"Design and build automated manufacturing systems and custom equipment for joining, cladding, and other applications. The company is currently members of ROS-Industrial, is an open-source project that extends the advanced capabilities of ROS to manufacturing automation and robotics (see ros-industrial)18.",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,Multi-category signal: Advanced Manufacturing; Robotics & Autonomy,,Houston,TX,,low,True,blocked_or_timeout
Arbe,Robotics & Autonomy,Tel Aviv,,Israel,yes,http://www.arberobotics.com/,https://www.linkedin.com/company/arbe-robotics/,https://www.crunchbase.com/organization/arbe-robotics,181,2015,Arbe Robotics,,,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Financial Services, Semiconductor, Venture Capital | Develops high-resolution 4D imaging radar chips for advanced driver assistance and autonomous driving. | Offers Real Time 4D Imaging Radar for autonomous driving. Hiring ROS engineers (Software Tools Development Team Lead).",ALL COMPANIES MERGED  | MASTER - Combined_Account Owner | Robotics,3,,Multi-category signal: Semiconductors; Transportation & Mobility; Electronics,"Arbe is a semiconductor and radar technology company that develops high-definition radar chipsets and perception AI systems for automotive and industrial applications, enabling advanced driver-assistance and autonomous driving solutions.",Tel Aviv,,"Arbe is a semiconductor and radar technology company that develops high-definition radar chipsets and perception AI systems for automotive and industrial applications, enabling advanced driver-assistance and autonomous driving solutions.",low,True,ok
Arcellx,,Redwood City,CA,USA,,www.arcellx.com,http://www.linkedin.com/company/arcellx,https://www.crunchbase.com/organization/arcellx,232,,Gilead Sciences,,Gilead Sciences,,ALL COMPANIES MERGED ,1,,No category match — needs manual review,"Arcellx was a clinical-stage biopharmaceutical company developing CAR T-cell therapies for cancer, most notably anito-cel for blood cancers; it was acquired by Gilead Sciences in 2026. The website now primarily reflects Kite, Gilead's cell therapy subsidiary.",Redwood City,CA,"Arcellx was a clinical-stage biopharmaceutical company developing CAR T-cell therapies for cancer, most notably anito-cel for blood cancers; it was acquired by Gilead Sciences in 2026. The website now primarily reflects Kite, Gilead's cell therapy subsidiary.",low,False,ok
Arcadia,Energy & Climate,Washington,DC,USA,,http://www.arcadia.com/,https://www.linkedin.com/company/arcadiahq/,,861,2014,,,,Energy + Climate | Clean Energy Data / Marketplace,Energy Targets (X- AgTech) | MASTER - Combined_Account Owner,2,,,"Arcadia is an energy intelligence platform that provides businesses with utility data management, AI-driven analytics, energy procurement advisory, and sustainability reporting to help enterprises manage energy costs and advance clean energy goals.",Washington,DC,"Arcadia is an energy intelligence platform that provides businesses with utility data management, AI-driven analytics, energy procurement advisory, and sustainability reporting to help enterprises manage energy costs and advance clean energy goals.",low,False,ok
Arch,Energy & Climate,San Francisco,CA,USA,,https://www.getarch.com/about,https://www.linkedin.com/company/get-arch/,,18,2022,,,,Climate,Energy Targets (X- AgTech) | MASTER - Combined_Account Owner,2,,,"Arch provides AI-powered revenue and marketing software for home services companies (HVAC, plumbing, electrical, drain), helping operators identify prospects, retain at-risk customers, and uncover upsell opportunities through automated campaigns and data intelligence.",San Francisco,CA,"Arch provides AI-powered revenue and marketing software for home services companies (HVAC, plumbing, electrical, drain), helping operators identify prospects, retain at-risk customers, and uncover upsell opportunities through automated campaigns and data intelligence.",high,False,ok
Archer,Aerospace & Space,San Jose,CA,USA,,https://www.archer.com/ | https://archer.com,https://www.linkedin.com/company/flyarcher/,https://www.crunchbase.com/organization/archer-b2aa,1414,2020,Archer Aviation | Archer Aviation Inc. | Archer,,,"Aerospace | Aerospace / Defense | Aerospace, Air Transportation, Electric Vehicle, Manufacturing | Aircraft (Commercial Drones) | Aviation (New) | Aviation Autonomy | Developing all-electric vertical takeoff and landing aircraft for urban air mobility. | Modern Defense Companies | eVTOL | eVTOL / Advanced Air Mobility | eVTOL OEMs",ALL COMPANIES MERGED | MASTER - Combined_Account Owner | SPACE & DEFENSE COMPANIES | Sheet1 | Source - SoCal Hard Tech,5,Holly/Aaron active,,,San Jose,CA,,low,True,blocked_or_timeout
